workclass,occupation,education_level,relationship,gender,capital_gain,capital_loss,hours_per_week,income
Private,Prof-specialty,15.0,Husband,Male,0.0,2415.0,40.0,>50K
Self-emp-inc,Machine-op-inspct,11.0,Husband,Male,0.0,2415.0,70.0,>50K
Private,Exec-managerial,14.0,Husband,Male,0.0,2415.0,60.0,>50K
Self-emp-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,35.0,>50K
Self-emp-inc,Sales,13.0,Husband,Male,0.0,2415.0,60.0,>50K
Self-emp-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,60.0,>50K
Private,Sales,13.0,Husband,Male,0.0,2415.0,55.0,>50K
Self-emp-not-inc,Exec-managerial,9.0,Husband,Male,0.0,2415.0,50.0,>50K
Local-gov,Prof-specialty,15.0,Husband,Male,0.0,2415.0,45.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2415.0,50.0,>50K
Private,Exec-managerial,14.0,Wife,Female,0.0,2415.0,65.0,>50K
Private,Exec-managerial,13.0,Husband,Male,0.0,2415.0,60.0,>50K
,,11.0,Husband,Male,0.0,2415.0,12.0,>50K
Private,Sales,14.0,Husband,Male,0.0,2415.0,65.0,>50K
Private,Exec-managerial,14.0,Husband,Male,0.0,2415.0,45.0,>50K
Private,Prof-specialty,13.0,Husband,Male,0.0,2415.0,48.0,>50K
Self-emp-inc,Exec-managerial,10.0,Husband,Male,0.0,2415.0,55.0,>50K
Self-emp-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,80.0,>50K
Private,Exec-managerial,14.0,Husband,Male,0.0,2415.0,70.0,>50K
Self-emp-not-inc,Farming-fishing,10.0,Husband,Male,0.0,2415.0,40.0,>50K
Self-emp-inc,Sales,13.0,Husband,Male,0.0,2415.0,50.0,>50K
Self-emp-not-inc,Exec-managerial,13.0,Husband,Male,0.0,2415.0,50.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,50.0,>50K
Federal-gov,Prof-specialty,15.0,Husband,Male,,2415.0,55.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2415.0,50.0,>50K
Self-emp-inc,Prof-specialty,14.0,Husband,Male,0.0,2415.0,55.0,>50K
Private,Prof-specialty,15.0,Husband,Male,0.0,2415.0,67.0,>50K
Self-emp-not-inc,Sales,13.0,Husband,Male,0.0,2415.0,40.0,>50K
Private,Farming-fishing,10.0,Husband,Male,0.0,2415.0,99.0,>50K
Self-emp-inc,Farming-fishing,13.0,Husband,Male,0.0,2415.0,60.0,>50K
Self-emp-not-inc,Other-service,9.0,Wife,Female,0.0,2415.0,40.0,>50K
Private,Adm-clerical,13.0,Husband,Male,0.0,2415.0,35.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,80.0,>50K
Self-emp-inc,Craft-repair,11.0,Husband,Male,0.0,2415.0,40.0,>50K
Private,Sales,15.0,Husband,Male,0.0,2415.0,99.0,>50K
Private,Prof-specialty,16.0,Husband,Male,0.0,2415.0,45.0,>50K
Self-emp-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,60.0,>50K
Private,Prof-specialty,16.0,Husband,Male,0.0,2415.0,55.0,>50K
Self-emp-not-inc,Exec-managerial,13.0,Husband,Male,0.0,2415.0,40.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,30.0,>50K
Self-emp-inc,Exec-managerial,15.0,Wife,Female,0.0,2415.0,55.0,>50K
Private,Sales,13.0,Husband,Male,0.0,2415.0,45.0,>50K
Private,Prof-specialty,15.0,Husband,Male,0.0,2415.0,90.0,>50K
Private,Sales,10.0,Husband,Male,0.0,2415.0,50.0,>50K
Private,Exec-managerial,13.0,Wife,Female,0.0,2415.0,20.0,>50K
Private,Exec-managerial,13.0,Husband,Male,0.0,2415.0,60.0,>50K
Self-emp-inc,Prof-specialty,15.0,Husband,Male,0.0,2415.0,45.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Male,0.0,2392.0,40.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2392.0,75.0,>50K
Self-emp-not-inc,Prof-specialty,16.0,Husband,Male,0.0,2392.0,25.0,>50K
,,,Husband,Male,0.0,2392.0,6.0,>50K
Self-emp-inc,Exec-managerial,14.0,Husband,Male,0.0,2392.0,50.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2392.0,40.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2392.0,60.0,>50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2392.0,55.0,>50K
Private,Exec-managerial,14.0,Husband,Male,0.0,2392.0,40.0,>50K
Private,Adm-clerical,11.0,Husband,Male,0.0,2377.0,45.0,<=50K
State-gov,Prof-specialty,16.0,Husband,Male,0.0,2377.0,60.0,>50K
Self-emp-inc,Adm-clerical,9.0,Wife,Female,0.0,2377.0,40.0,>50K
Private,Prof-specialty,9.0,Husband,Male,0.0,2377.0,60.0,<=50K
Self-emp-not-inc,Craft-repair,13.0,Husband,Male,0.0,2377.0,12.0,>50K
Private,Adm-clerical,10.0,Wife,Female,0.0,2377.0,20.0,<=50K
Local-gov,Exec-managerial,10.0,Husband,Male,0.0,2377.0,40.0,<=50K
Private,Sales,9.0,Husband,Male,0.0,2377.0,40.0,<=50K
Private,Exec-managerial,9.0,Husband,Male,0.0,2377.0,26.0,>50K
Self-emp-not-inc,Sales,16.0,Husband,Male,0.0,2377.0,25.0,>50K
Private,Exec-managerial,9.0,Husband,Male,0.0,2377.0,45.0,>50K
Private,Sales,10.0,Husband,Male,0.0,2377.0,55.0,>50K
State-gov,Prof-specialty,14.0,Husband,Male,0.0,2377.0,42.0,>50K
,,13.0,Husband,Male,0.0,2377.0,40.0,>50K
Private,Sales,9.0,Husband,Male,0.0,2377.0,40.0,<=50K
Self-emp-inc,Craft-repair,12.0,Husband,Male,0.0,2377.0,50.0,<=50K
,,13.0,Husband,Male,0.0,2377.0,35.0,>50K
Private,Exec-managerial,10.0,Husband,Male,0.0,2377.0,48.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2377.0,40.0,<=50K
Self-emp-inc,Exec-managerial,13.0,Husband,Male,0.0,2377.0,50.0,>50K
Self-emp-not-inc,Farming-fishing,9.0,Husband,Male,0.0,2352.0,50.0,<=50K
Self-emp-inc,Farming-fishing,9.0,Husband,Male,0.0,2352.0,65.0,<=50K
Private,Craft-repair,3.0,Not-in-family,Female,0.0,2339.0,45.0,<=50K
Local-gov,Prof-specialty,13.0,Not-in-family,Male,0.0,2339.0,55.0,<=50K
Local-gov,Farming-fishing,9.0,Unmarried,Male,0.0,2339.0,40.0,<=50K
Private,Handlers-cleaners,3.0,Not-in-family,Male,0.0,2339.0,40.0,<=50K
State-gov,Prof-specialty,13.0,Not-in-family,Female,0.0,2339.0,40.0,<=50K
Self-emp-inc,Exec-managerial,10.0,Not-in-family,Male,0.0,2339.0,50.0,<=50K
Private,Machine-op-inspct,13.0,Not-in-family,Male,0.0,2339.0,40.0,<=50K
Private,Prof-specialty,13.0,Own-child,Female,0.0,2339.0,35.0,<=50K
Private,Adm-clerical,10.0,Not-in-family,Female,0.0,2339.0,45.0,<=50K
Local-gov,Protective-serv,9.0,Other-relative,Female,0.0,2339.0,40.0,<=50K
State-gov,Exec-managerial,10.0,Own-child,Male,0.0,2339.0,40.0,<=50K
,,11.0,Not-in-family,Female,0.0,2339.0,36.0,<=50K
Self-emp-not-inc,Sales,14.0,Unmarried,Female,0.0,2339.0,60.0,<=50K
Private,Craft-repair,9.0,Not-in-family,Male,0.0,2339.0,40.0,<=50K
Private,Adm-clerical,9.0,Other-relative,Female,0.0,2339.0,40.0,<=50K
Private,Prof-specialty,15.0,,Male,0.0,2339.0,40.0,<=50K
Self-emp-not-inc,Other-service,15.0,Not-in-family,Female,0.0,2339.0,35.0,<=50K
Private,Prof-specialty,13.0,Not-in-family,Male,0.0,2282.0,40.0,>50K
Local-gov,Craft-repair,9.0,Husband,Male,0.0,2267.0,40.0,<=50K
Private,Machine-op-inspct,3.0,Husband,Male,0.0,2267.0,40.0,<=50K
Local-gov,Prof-specialty,14.0,Wife,Female,0.0,2267.0,40.0,<=50K
Federal-gov,Adm-clerical,9.0,Not-in-family,Male,0.0,2258.0,40.0,<=50K
Self-emp-not-inc,Farming-fishing,10.0,Own-child,Male,0.0,2258.0,10.0,<=50K
Private,Craft-repair,9.0,Not-in-family,Male,0.0,2258.0,84.0,<=50K
Self-emp-not-inc,Sales,10.0,Other-relative,Male,0.0,2258.0,40.0,<=50K
Private,Tech-support,13.0,Not-in-family,Female,0.0,2258.0,48.0,<=50K
Private,Machine-op-inspct,10.0,Not-in-family,Male,0.0,2258.0,55.0,>50K
State-gov,Adm-clerical,12.0,Unmarried,Male,0.0,2258.0,38.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Female,0.0,2258.0,45.0,>50K
Federal-gov,Adm-clerical,13.0,Not-in-family,Male,0.0,2258.0,40.0,<=50K
Private,Craft-repair,9.0,Own-child,Male,0.0,2258.0,42.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Male,0.0,2258.0,40.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Male,0.0,2258.0,45.0,>50K
Self-emp-not-inc,Craft-repair,9.0,Not-in-family,Male,0.0,2258.0,50.0,<=50K
Private,Prof-specialty,13.0,Own-child,Female,0.0,2258.0,40.0,>50K
Private,Prof-specialty,14.0,Not-in-family,Male,0.0,2258.0,50.0,<=50K
Private,Craft-repair,8.0,Not-in-family,Male,0.0,2258.0,42.0,<=50K
Local-gov,Prof-specialty,14.0,Not-in-family,Female,0.0,2258.0,60.0,<=50K
Private,Adm-clerical,10.0,Unmarried,Female,0.0,2258.0,38.0,>50K
Private,Exec-managerial,9.0,Not-in-family,Male,0.0,2258.0,70.0,<=50K
Federal-gov,Tech-support,13.0,Not-in-family,Male,0.0,2258.0,40.0,>50K
State-gov,Exec-managerial,16.0,Not-in-family,Female,0.0,2258.0,50.0,>50K
Self-emp-inc,Sales,10.0,Not-in-family,Male,0.0,2258.0,60.0,<=50K
Private,Farming-fishing,10.0,Not-in-family,Male,0.0,2258.0,62.0,>50K
Private,Farming-fishing,9.0,Not-in-family,Male,0.0,2258.0,44.0,>50K
Private,Exec-managerial,9.0,Not-in-family,Female,0.0,2258.0,40.0,>50K
Private,Exec-managerial,13.0,Husband,Male,0.0,2246.0,45.0,>50K
Local-gov,Prof-specialty,9.0,Other-relative,Female,0.0,2246.0,40.0,>50K
Self-emp-not-inc,Exec-managerial,10.0,Husband,Male,0.0,2246.0,40.0,>50K
Self-emp-not-inc,Exec-managerial,14.0,Husband,Male,0.0,2246.0,8.0,>50K
Private,Prof-specialty,13.0,Husband,Male,0.0,2246.0,40.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Husband,Male,0.0,2246.0,28.0,>50K
Private,Machine-op-inspct,9.0,Unmarried,Female,0.0,2238.0,40.0,<=50K
Private,Adm-clerical,6.0,Unmarried,Female,0.0,2238.0,35.0,<=50K
Self-emp-not-inc,Adm-clerical,13.0,Own-child,Male,0.0,2231.0,40.0,>50K
Local-gov,Handlers-cleaners,5.0,Unmarried,Male,0.0,2231.0,40.0,>50K
Local-gov,Protective-serv,10.0,Not-in-family,Male,0.0,2231.0,40.0,>50K
Private,Other-service,9.0,Not-in-family,Male,0.0,2206.0,40.0,<=50K
Private,Adm-clerical,9.0,Not-in-family,Female,0.0,2206.0,30.0,<=50K
Private,Adm-clerical,9.0,Unmarried,Female,0.0,2206.0,59.0,<=50K
,,9.0,Unmarried,Female,0.0,2206.0,10.0,<=50K
Private,Exec-managerial,13.0,Not-in-family,Female,0.0,2206.0,5.0,<=50K
Local-gov,Prof-specialty,13.0,Not-in-family,Female,0.0,2206.0,25.0,<=50K
Private,Adm-clerical,10.0,Not-in-family,Male,0.0,2205.0,24.0,<=50K
Self-emp-not-inc,Machine-op-inspct,10.0,Not-in-family,Male,0.0,2205.0,35.0,<=50K
Private,Adm-clerical,10.0,Own-child,Female,0.0,2205.0,40.0,<=50K
Private,Other-service,12.0,Own-child,Female,0.0,2205.0,18.0,<=50K
Private,Craft-repair,9.0,Not-in-family,Male,0.0,2205.0,40.0,<=50K
Private,Other-service,10.0,Own-child,Female,0.0,2205.0,40.0,<=50K
Private,Machine-op-inspct,10.0,Other-relative,Female,0.0,2205.0,40.0,<=50K
Private,Handlers-cleaners,4.0,Not-in-family,Male,0.0,2205.0,40.0,<=50K
,,9.0,Not-in-family,Female,0.0,2205.0,40.0,<=50K
Self-emp-inc,Exec-managerial,14.0,Unmarried,Male,0.0,2201.0,60.0,>50K
Private,Craft-repair,7.0,Husband,Male,0.0,2179.0,40.0,<=50K
Private,Handlers-cleaners,4.0,Husband,Male,0.0,2179.0,40.0,<=50K
Self-emp-inc,Sales,11.0,Husband,Male,0.0,2179.0,84.0,<=50K
Self-emp-not-inc,Craft-repair,4.0,Husband,Male,0.0,2179.0,40.0,<=50K
Self-emp-not-inc,Transport-moving,2.0,Husband,Male,0.0,2179.0,18.0,<=50K
State-gov,Exec-managerial,10.0,Husband,Male,0.0,2179.0,40.0,<=50K
Self-emp-not-inc,Farming-fishing,9.0,Wife,Female,0.0,2179.0,12.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2179.0,45.0,<=50K
Private,Adm-clerical,9.0,Wife,Female,0.0,2179.0,40.0,<=50K
Private,Sales,6.0,Husband,Male,0.0,2179.0,52.0,<=50K
Private,Machine-op-inspct,10.0,Husband,Male,0.0,2179.0,40.0,<=50K
Self-emp-not-inc,Sales,3.0,Husband,Male,0.0,2179.0,50.0,<=50K
,,13.0,Husband,Male,0.0,2179.0,45.0,<=50K
Self-emp-not-inc,Handlers-cleaners,9.0,Husband,Male,0.0,2179.0,40.0,<=50K
Private,Transport-moving,10.0,Husband,Male,0.0,2179.0,40.0,<=50K
,,13.0,Husband,Male,0.0,2174.0,40.0,>50K
Self-emp-not-inc,Exec-managerial,10.0,Husband,Male,0.0,2174.0,10.0,>50K
Private,Handlers-cleaners,9.0,Husband,Male,0.0,2174.0,40.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Husband,Male,0.0,2174.0,50.0,>50K
State-gov,Adm-clerical,9.0,Husband,Male,,2174.0,40.0,>50K
Federal-gov,Exec-managerial,10.0,Husband,Male,0.0,2174.0,40.0,>50K
Private,Prof-specialty,10.0,Husband,Male,0.0,2174.0,50.0,>50K
,,13.0,Husband,Male,0.0,2163.0,25.0,<=50K
Self-emp-not-inc,Prof-specialty,11.0,Husband,Male,0.0,2149.0,40.0,<=50K
Self-emp-not-inc,Sales,9.0,Husband,Male,0.0,2149.0,20.0,<=50K
Private,Machine-op-inspct,3.0,Wife,Female,0.0,2129.0,72.0,<=50K
Self-emp-not-inc,Craft-repair,7.0,Own-child,Male,0.0,2129.0,55.0,<=50K
Self-emp-not-inc,Craft-repair,9.0,Husband,Male,0.0,2129.0,40.0,<=50K
Federal-gov,Adm-clerical,12.0,Unmarried,Male,,2080.0,40.0,<=50K
Private,Prof-specialty,14.0,Husband,Male,0.0,2057.0,60.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2057.0,40.0,<=50K
Self-emp-not-inc,Prof-specialty,10.0,Wife,Female,0.0,2057.0,60.0,<=50K
Private,Craft-repair,7.0,Husband,Male,0.0,2057.0,40.0,<=50K
Private,Adm-clerical,9.0,Wife,Female,0.0,2057.0,20.0,<=50K
Private,Adm-clerical,10.0,Wife,Female,0.0,2057.0,40.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,60.0,<=50K
Private,Craft-repair,10.0,Husband,Male,0.0,2051.0,45.0,<=50K
Private,Adm-clerical,10.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2051.0,50.0,<=50K
Local-gov,Craft-repair,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Self-emp-not-inc,Farming-fishing,9.0,Husband,Male,0.0,2051.0,20.0,<=50K
Private,Adm-clerical,10.0,Husband,Male,0.0,2051.0,40.0,<=50K
Federal-gov,Transport-moving,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Craft-repair,10.0,Husband,Male,0.0,2051.0,40.0,<=50K
Local-gov,Prof-specialty,13.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Sales,10.0,Husband,Male,0.0,2051.0,57.0,<=50K
Private,Machine-op-inspct,9.0,Husband,Male,0.0,2051.0,38.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,44.0,<=50K
Private,Machine-op-inspct,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Tech-support,11.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2051.0,55.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Craft-repair,6.0,Husband,Male,0.0,2051.0,40.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2051.0,20.0,<=50K
Private,Transport-moving,7.0,Husband,Male,,2042.0,40.0,<=50K
Private,Handlers-cleaners,10.0,Husband,Male,0.0,2042.0,40.0,<=50K
Private,Sales,10.0,Husband,Male,0.0,2042.0,50.0,<=50K
Private,Handlers-cleaners,9.0,Husband,Male,0.0,2042.0,40.0,<=50K
Self-emp-not-inc,Craft-repair,9.0,Husband,Male,0.0,2042.0,48.0,<=50K
Private,Tech-support,12.0,Husband,Male,0.0,2042.0,10.0,<=50K
Private,Farming-fishing,4.0,Husband,Male,0.0,2042.0,40.0,<=50K
Private,Craft-repair,7.0,Husband,Male,0.0,2042.0,30.0,<=50K
Private,Protective-serv,9.0,Husband,Male,0.0,2042.0,34.0,<=50K
Local-gov,Craft-repair,9.0,Husband,Male,0.0,2002.0,40.0,<=50K
Local-gov,Other-service,9.0,Husband,Male,0.0,2002.0,45.0,<=50K
Private,Handlers-cleaners,4.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Transport-moving,7.0,Husband,Male,0.0,2002.0,40.0,<=50K
Federal-gov,Prof-specialty,13.0,Husband,Male,0.0,2002.0,40.0,<=50K
Self-emp-not-inc,Craft-repair,9.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Prof-specialty,12.0,Husband,Male,0.0,2002.0,42.0,<=50K
Local-gov,Protective-serv,12.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Craft-repair,11.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Exec-managerial,13.0,Husband,Male,0.0,2002.0,50.0,<=50K
Self-emp-not-inc,Prof-specialty,13.0,Husband,Male,0.0,2002.0,30.0,<=50K
,,13.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Craft-repair,9.0,Husband,Male,0.0,2002.0,60.0,<=50K
Private,Craft-repair,9.0,Own-child,Female,0.0,2002.0,40.0,<=50K
Private,Sales,13.0,Husband,Male,,2002.0,55.0,<=50K
Private,Prof-specialty,12.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2002.0,40.0,<=50K
Self-emp-inc,Exec-managerial,9.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Transport-moving,9.0,Husband,Male,0.0,2002.0,40.0,<=50K
Private,Sales,9.0,Husband,Male,0.0,2002.0,45.0,<=50K
Self-emp-not-inc,Transport-moving,16.0,Husband,Male,0.0,2002.0,45.0,<=50K
,,9.0,Unmarried,Male,0.0,2001.0,40.0,<=50K
Private,Adm-clerical,9.0,Unmarried,Male,0.0,2001.0,42.0,<=50K
Private,Other-service,9.0,Unmarried,Male,0.0,2001.0,40.0,<=50K
Federal-gov,Adm-clerical,14.0,Not-in-family,Male,0.0,2001.0,60.0,<=50K
Private,Craft-repair,7.0,Not-in-family,Male,0.0,2001.0,40.0,<=50K
Private,Handlers-cleaners,13.0,Not-in-family,Male,0.0,2001.0,40.0,<=50K
Private,Tech-support,12.0,Not-in-family,Female,0.0,2001.0,30.0,<=50K
Private,Other-service,9.0,Not-in-family,Male,0.0,2001.0,40.0,
Private,Adm-clerical,9.0,Own-child,Male,0.0,2001.0,40.0,<=50K
,,9.0,Not-in-family,Female,0.0,2001.0,40.0,<=50K
Self-emp-not-inc,Craft-repair,10.0,Not-in-family,Male,0.0,2001.0,50.0,<=50K
Self-emp-not-inc,Craft-repair,9.0,Not-in-family,Male,0.0,2001.0,35.0,<=50K
Private,Craft-repair,9.0,Not-in-family,Male,0.0,2001.0,50.0,<=50K
Private,Adm-clerical,10.0,Own-child,Female,0.0,2001.0,40.0,<=50K
Private,Adm-clerical,9.0,Not-in-family,Female,0.0,2001.0,37.0,<=50K
Federal-gov,Transport-moving,13.0,Not-in-family,Male,0.0,2001.0,65.0,<=50K
Local-gov,Other-service,10.0,Not-in-family,Female,0.0,2001.0,40.0,<=50K
Private,Machine-op-inspct,9.0,Not-in-family,Male,0.0,2001.0,40.0,<=50K
Private,Adm-clerical,9.0,Own-child,Male,0.0,2001.0,40.0,<=50K
,,10.0,Not-in-family,Male,0.0,2001.0,45.0,<=50K
Private,Adm-clerical,9.0,Not-in-family,Female,0.0,2001.0,40.0,<=50K
Private,Other-service,13.0,Not-in-family,Male,0.0,2001.0,40.0,<=50K
Private,Farming-fishing,9.0,Not-in-family,Male,0.0,2001.0,40.0,<=50K
Private,Other-service,9.0,Not-in-family,Female,0.0,2001.0,40.0,<=50K
Private,Other-service,9.0,Not-in-family,Male,0.0,1980.0,40.0,<=50K
Private,Craft-repair,10.0,Own-child,Male,0.0,,40.0,<=50K
Private,Sales,13.0,Not-in-family,Female,0.0,1980.0,65.0,<=50K
Self-emp-not-inc,Exec-managerial,13.0,Not-in-family,Male,0.0,1980.0,60.0,<=50K
Federal-gov,Craft-repair,9.0,Not-in-family,Male,0.0,1980.0,40.0,<=50K
Local-gov,Adm-clerical,12.0,Not-in-family,Female,0.0,1980.0,40.0,<=50K
Private,Transport-moving,9.0,Not-in-family,Male,0.0,1980.0,46.0,<=50K
Private,Exec-managerial,10.0,Not-in-family,Male,0.0,1980.0,45.0,<=50K
Private,Sales,13.0,Not-in-family,Male,0.0,1980.0,56.0,<=50K
